                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.3999999999999999E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                             star_age_hr                             model_number                                 star_age                                star_mass                                   log_dt                                num_zones                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                            envelope_mass                   envelope_fraction_left                                   log_LH                                  log_LHe                                    log_L                                 log_Lneu                                 log_Teff                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                       log_total_mass_he4                                max_eps_h                            max_eps_h_lgT                          max_eps_h_lgRho                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                           max_eps_he_lgT                         max_eps_he_lgRho                             max_eps_he_m                           max_eps_he_lgR                        v_div_csound_surf                              num_retries                              num_backups                              h1_czb_mass 
                 1.6738156569161223E-003                                        1                  1.9094073537115110E-007                  1.4000000000002650E+000                 -6.7191014091670613E+000                                     1444                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005271E+033                  2.7848800000005271E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002650E+000                  1.0000000000001894E+000                 -3.9051058258509691E-001                 -2.1771268472111597E+001                 -2.8789700053568995E-001                 -1.4475855883851294E+000                  6.1107705513636148E+000                 -4.8422307665424489E+000                  1.4384259642768622E+001                  7.7477148854929725E+000                  6.6818172208931124E+000                  2.3388058738684112E+001                  6.9421963082221652E+001                  4.6428571428571430E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  3.4003423694724815E-003                  9.3356866700306969E-003                 -1.3146677653539729E+001                  7.5254948446869785E+012                  7.7337708956710021E+000                  5.4801138241035003E+000                  1.3999999999999999E+000                  6.0001752425623529E+000                  5.1758296674902615E-009                  7.7337708956710021E+000                  5.4801138241035003E+000                  1.3999999999999999E+000                  6.0001752425623529E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000 
                 4.3450048551974076E-002                                       10                  4.9565698517312259E-006                  1.4000000000002655E+000                 -6.0064701947384380E+000                                     1182                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005271E+033                  2.7848800000005277E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002655E+000                  1.0000000000001896E+000                 -4.1869019532404211E-001                 -2.2001657206796136E+001                 -2.9577547832107604E-001                 -1.4537060770956951E+000                  6.1088010457059010E+000                 -4.8422309941197135E+000                  1.4384260178071397E+001                  7.7658371921285108E+000                  6.6817349582366292E+000                  2.3388015320152757E+001                  6.6576070827490327E+001                  4.6428571428571419E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  3.4004172483493660E-003                  9.3357357543275548E-003                 -1.3146418249175710E+001                  6.9895621455903945E+012                  7.7273093267306505E+000                  5.4807395263332808E+000                  1.3999999999999999E+000                  6.0001752462168856E+000                  3.0022914833565942E-009                  7.7273093267306505E+000                  5.4807395263332808E+000                  1.3999999999999999E+000                  6.0001752462168856E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000 
                 3.1248129672628017E-001                                       20                  3.5646343932865204E-005                  1.4000000000002657E+000                 -5.2146577342621896E+000                                     1197                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005283E+033                  2.7848800000005283E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002657E+000                  1.0000000000001898E+000                 -4.2230953432365281E-001                 -2.1982735157218741E+001                 -3.0563745608388015E-001                 -1.4770659673671263E+000                  6.1063356093264378E+000                 -4.8422311102421904E+000                  1.4384260451212436E+001                  7.8055591619021127E+000                  6.6816280393202758E+000                  2.3388046439748333E+001                  6.0744618128516137E+001                  4.6428571428571430E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  3.4004187917485973E-003                  9.3358354302154421E-003                 -1.3144867943647204E+001                  6.9661254532995527E+012                  7.7283210292143885E+000                  5.4815414992660738E+000                  1.3999999999999999E+000                  6.0001752618003836E+000                  3.3273887549877945E-009                  7.7283210292143885E+000                  5.4815414992660738E+000                  1.3999999999999999E+000                  6.0001752618003836E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000 
                 4.5365546173105892E-001                                       22                  5.1750804881142426E-005                  1.4000000000002659E+000                 -5.0562952421669403E+000                                     1197                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005289E+033                  2.7848800000005289E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002659E+000                  1.0000000000001901E+000                 -1.6049637707271561E-001                 -2.0790881635165920E+001                 -2.2354683147608417E-001                 -1.2074927708805552E+000                  6.1268570790564221E+000                 -4.8422287373982602E+000                  1.4384254869858658E+001                  7.8196694680961043E+000                  6.6815882542948550E+000                  2.3388060701827520E+001                  5.8798150720823507E+001                  4.6428571428571430E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  3.3999970861302103E-003                  9.3358559051416497E-003                 -1.3143835840392502E+001                  1.2565690746972018E+013                  7.7610532644503589E+000                  5.4794053002638323E+000                  1.3999999999999999E+000                  6.0001753049721938E+000                  5.1007883480190497E-008                  7.7610532644503589E+000                  5.4794053002638323E+000                  1.3999999999999999E+000                  6.0001753049721938E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000 
                 6.0061622741923359E-001                                       30                  6.8515373043270486E-005                  1.4000000000002661E+000                 -5.9668140394795035E+000                                     1219                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005295E+033                  2.7848800000005295E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002661E+000                  1.0000000000001901E+000                  9.6258494428032648E-001                 -9.8280131027107434E+000                  7.4670294542273175E-001                  5.9396465030673293E-002                  6.3694028089903787E+000                 -4.8421953088167653E+000                  1.4384176240676675E+001                  7.8642696688782889E+000                  6.6814416691816287E+000                  2.3388097606402571E+001                  5.3044390706203345E+001                  4.6428571428571430E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  3.4003412078439698E-003                  9.3356991467773258E-003                 -1.3138115855146218E+001                  8.0497831842223750E+013                  8.0272312374732522E+000                  5.3009758596837120E+000                  1.4000000000000996E+000                  6.0002046667178384E+000                  3.5133536852973548E+003                  8.0279454569648419E+000                  5.4482770853782414E+000                  1.3999999999999999E+000                  6.0001759871138463E+000                  0.0000000000000000E+000                                        2                                        0                  0.0000000000000000E+000 
                 7.1610231879533204E-001                                       40                  8.1689463703361146E-005                  1.4000000000002666E+000                 -5.8161524054879497E+000                                     1216                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005300E+033                  2.7848800000005300E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002666E+000                  1.0000000000001905E+000                  9.8206207808479962E-001                 -8.4285311722935408E+000                  9.2322934568586079E-001                  1.1306126763618114E-001                  6.4135304406436084E+000                 -4.8421873719916597E+000                  1.4384157572266156E+001                  7.9675681801023233E+000                  6.6808580009105603E+000                  2.3388119357133753E+001                  4.1766806969119422E+001                  4.6428571428571419E-001                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  3.4002034348317540E-003                  9.3357090037311276E-003                 -1.3129036146620280E+001                  7.7346220044738312E+013                  8.0692341476495049E+000                  5.4427052977630606E+000                  1.3999999999999999E+000                  6.0001765196528334E+000                  1.0255503305583476E+005                  8.0692341476495049E+000                  5.4427052977630606E+000                  1.3999999999999999E+000                  6.0001765196528334E+000                  0.0000000000000000E+000                                        2                                        0                  0.0000000000000000E+000 
                 9.4955617710506324E-001                                       50                  1.0832074248051168E-004                  1.4000000000002670E+000                 -5.3418850861357736E+000                                     1234                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005312E+033                  2.7848800000005312E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002670E+000                  1.0000000000001907E+000                  9.9105376418939783E-001                 -7.9046201148397586E+000                  9.7317498307755845E-001                  1.2541947390199973E-001                  6.4260158135526817E+000                 -4.8421852991139582E+000                  1.4384152696611521E+001                  8.0663702712906531E+000                  6.6799660816966373E+000                  2.3388147577008315E+001                  3.3204541877603774E+001                  4.6428571428571430E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  3.3805103539096119E-003                  9.3361844613542282E-003                 -1.3112273850122504E+001                  7.7359884392417750E+013                  8.0850966545044614E+000                  5.4433846569458417E+000                  1.3999999999999999E+000                  6.0001769462201304E+000                  3.7989103775472805E+005                  8.0850966545044614E+000                  5.4433846569458417E+000                  1.3999999999999999E+000                  6.0001769462201304E+000                  0.0000000000000000E+000                                        2                                        0                  0.0000000000000000E+000 
                 2.1923178045665588E+000                                       60                  2.5008893425124839E-004                  1.4000000000002695E+000                 -4.5500726256595252E+000                                     1236                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005358E+033                  2.7848800000005358E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002695E+000                  1.0000000000001925E+000                  1.0001605498504096E+000                 -7.3145961222547315E+000                  1.0119207861545898E+000                  1.3482615884772492E-001                  6.4357035227529407E+000                 -4.8421878159759606E+000                  1.4384158616570753E+001                  8.1160236420269918E+000                  6.6795341286711256E+000                  2.3388336390803332E+001                  2.9587857140840480E+001                  4.6428571428571430E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  3.3008092175560370E-003                  9.2369137555076385E-003                 -1.3031517756358916E+001                  7.7384508520582016E+013                  8.0957191794199783E+000                  5.4618666738143222E+000                  1.3999999999999999E+000                  6.0001769942853400E+000                  1.5321629981707719E+006                  8.0957191794199783E+000                  5.4618666738143222E+000                  1.3999999999999999E+000                  6.0001769942853400E+000                  0.0000000000000000E+000                                        2                                        0                  0.0000000000000000E+000 
                 8.6422746099818539E+000                                       70                  9.8586858265483149E-004                  1.4000000000002819E+000                 -3.9999999999999996E+000                                     1217                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005606E+033                  2.7848800000005606E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002819E+000                  1.0000000000002014E+000                  1.0237384506619014E+000                 -6.3504582194188366E+000                  1.0351683400217084E+000                  1.5830044925728354E-001                  6.4415273028248459E+000                 -4.8422115991862116E+000                  1.4384214557946445E+001                  8.1128076493257737E+000                  6.6802686776512417E+000                  2.3389374023656124E+001                  2.9836182106199498E+001                  4.6428571428571419E-001                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  3.3034482229496644E-003                  9.0160173678462859E-003                 -1.2747721014764323E+001                  8.1680228663741047E+013                  7.9708579725083037E+000                  4.8577539374421290E+000                  1.4000000000002537E+000                  6.0002614509242465E+000                  1.2738374780407252E+007                  8.0916242191667589E+000                  5.5830815395517943E+000                  1.3999999999999999E+000                  6.0001756799650501E+000                  0.0000000000000000E+000                                        2                                        0                  0.0000000000000000E+000 
