                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     750                                      697                  1.5000000000000000E+001                  2.0000000000000000E-002                  2.9053225125599747E+004                  9.1223713699115592E+001                  1.7242460964192516E+004                  2.4173017691305424E+004                  1.7447201165792038E+001                 -6.7099683887477912E+000                  6.9999999883478015E-001                  2.9798654250585184E-005                  2.7997020242130000E-001                  3.4416100727800987E-003                  1.0081591745595057E-003                  9.3604466091182469E-003                  2.0994599496976492E-003                  1.5000000000000000E+001                  0.0000000000000000E+000                  1.0499999998286452E+001                  4.4696618528499978E-004                  4.1995530354950894E+000                  5.1624158963149612E-002                  1.5122378434756801E-002                  1.4040669913709322E-001                  3.1491899245464694E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4999999954264789E+001                  1.7349168520368739E+001                  1.4999999656042640E+001                  1.7197651792555327E+001                  1.8839813302185119E+005                  1.2522914593738722E+004                  6.2052658015450072E+006                  3.5747337256412229E-002                  3.5747337256412243E-002                  1.6902285432289930E-052                  1.4735174071122323E-003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                 eps_grav                log_abs_eps_grav_dm_div_L                      signed_log_eps_grav                               net_energy                         signed_log_power                                 velocity                                  entropy                              mixing_type                                   csound                                 v_div_cs                                      eta                                       mu                                       dm                                    logdq                                 dq_ratio                                        q                                    log_q                                   radius                                     rmid                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                    grada                                   free_e                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     abar                                       ye                              log_opacity                                  eps_nuc                          log_abs_eps_nuc                          d_lnepsnuc_dlnd                          d_lnepsnuc_dlnT                              non_nuc_neu                        mlt_mixing_length                          mlt_mixing_type                          gradT_sub_grada                            log_mlt_Gamma                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                               log_D_conv                               log_D_soft                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                                    gradT                                    gradr                                     mass                                    logxq                                    logxm                                        x                                        y                                        z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                    other 
                                       1                  4.2367049065740208E+000                 -9.6899285935244421E+000                  2.8266046426697780E+000                  1.2417257685019498E+000                  2.4173017691305424E+004                 -1.1955911103796302E+000                 -1.5415513235227076E+001                 -7.7582677254307619E-002                 -7.7582677254307619E-002                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3830969584927288E+001                                        0                  2.1489655379455155E+006                 -1.1813413057759794E-006                 -1.8571453332901001E+001                  6.5213991701602925E-001                  2.9837999999999996E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.7447201165792038E+001                  1.7447144513427936E+001                  1.7246656218986867E+004                  6.6666666666666663E-001                 -1.7609125905568127E-001                  6.7081789989965273E+002                  6.6738126067859704E-001                  2.6509786506551132E+000                  2.5936066918075085E-001                  7.6501577695421585E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.0758977525379219E-001                  8.3156850812328737E-037                 -3.6080101965958228E+001                  8.3158579648881582E-037                  1.3482980473799184E-036                  0.0000000000000000E+000                  4.8644546215073881E+009                                        0                 -1.0930790711666813E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4946798913096558E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5005276206408272E-001                  1.5005276206408272E-001                  1.5000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120302E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  8.3156850812328737E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  4.2370156154027425E+000                 -9.6877708652291883E+000                  2.8286715790109218E+000                  1.2417229481104544E+000                  2.4173017691305431E+004                 -1.1128255637564175E+000                 -1.5158233300038564E+001                 -4.6427093683152801E-002                 -4.6427093683152801E-002                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3817020898052547E+001                                        0                  2.1491494859838290E+006                 -1.1813091293428304E-006                 -1.8567456483840942E+001                  6.5212678909301747E-001                  5.7970257352301214E+022                 -1.1711564481240330E+001                  5.1471222248792614E-001                  9.9999999999900002E-001                 -4.3428487456248995E-013                  1.7447087860695945E+001                  1.7446978338338031E+001                  1.7258999469768023E+004                  6.6926387857109426E-001                 -1.7440261405309945E-001                  6.7401813077252757E+002                  6.6801182714543061E-001                  2.6534557307357587E+000                  2.5949293933808804E-001                  7.6509933790714757E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.0821188383240954E-001                  8.3571040090945935E-037                 -3.6077944192747893E+001                  8.3572781860013796E-037                  1.3559834346961018E-036                  0.0000000000000000E+000                  4.8640447804423475E+009                                        0                 -1.0918258045033741E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4939040027183357E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5022303526589464E-001                  1.5022303526589464E-001                  1.4999999999985000E+001                 -1.2000000000000000E+001                 -1.0823908740944319E+001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120302E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  8.3571040090945935E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  4.2374251606272493E+000                 -9.6849438329724133E+000                  2.8313860699066771E+000                  1.2417174955612147E+000                  2.4173017691305442E+004                 -9.9078547115112581E-001                 -1.5208680764242674E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3798513092714359E+001                                        0                  2.1494081140088052E+006                 -1.1811754221867860E-006                 -1.8562237501144409E+001                  6.5210961550474156E-001                  5.7970257352301214E+022                 -1.1711564481240330E+001                  1.0000000000000000E+000                  9.9999999999705724E-001                 -1.2780231914249517E-012                  1.7446868814605253E+001                  1.7446760000137953E+001                  1.7275282602349293E+004                  6.7431715766449507E-001                 -1.7113578977581109E-001                  6.7824417083192407E+002                  6.6883357320721570E-001                  2.6567041350144875E+000                  2.5966718979179859E-001                  7.6519717358992856E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.0902237289082037E-001                  8.4116830171560734E-037                 -3.6075117101474753E+001                  8.4118589031191117E-037                  1.3661268145404411E-036                  0.0000000000000000E+000                  4.8626204072118206E+009                                        0                 -1.0869865943057588E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4929110156998171E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5088140513436743E-001                  1.5088140513436743E-001                  1.4999999999955859E+001                 -1.1531234351410021E+001                 -1.0355143092354339E+001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138540E-005                  2.7997020236474890E-001                  3.4416106108120306E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  8.4116830171560734E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  4.2379105446704006E+000                 -9.6816201979406316E+000                  2.8345862150490220E+000                  1.2417120781865938E+000                  2.4173017691305460E+004                 -8.6125019130332670E-001                 -1.5131228364173024E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3777330629134099E+001                                        0                  2.1497372036872269E+006                 -1.1810321576564790E-006                 -1.8556142568588250E+001                  6.5208933502435640E-001                  7.9709103859414145E+022                 -1.1573261783074049E+001                  7.2727272727272751E-001                  9.9999999999511446E-001                 -2.1217615082890526E-012                  1.7446651184313428E+001                  1.7446502701042622E+001                  1.7294600909146473E+004                  6.7938000280971722E-001                 -1.6788724050574128E-001                  6.8326034364297573E+002                  6.6979192213404493E-001                  2.6605261205792892E+000                  2.5987346284091467E-001                  7.6529585568546388E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.2966439685554805E+000                  8.5000496627254196E-001                  2.0996755354524904E-001                  8.4763055425040088E-037                 -3.6071793396813547E+001                  8.4764834591993104E-037                  1.3781614542005466E-036                  0.0000000000000000E+000                  4.8612865391418524E+009                                        0                 -1.0822084822464514E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4918308466524960E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5153319337730756E-001                  1.5153319337730756E-001                  1.4999999999926716E+001                 -1.1311076188602440E+001                 -1.0134984929546759E+001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  7.0000000000000018E-001                  2.9797635251138309E-005                  2.7997020236474890E-001                  3.4416106108120011E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  8.4763055425040088E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  4.2384711538158557E+000                 -9.6778107369077873E+000                  2.8382653814231644E+000                  1.2417046857578546E+000                  2.4173017691305482E+004                 -6.8997612108905937E-001                 -1.5227523634758333E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3753154016308301E+001                                        0                  2.1501440862400825E+006                 -1.1808208789731539E-006                 -1.8549193382263184E+001                  6.5206616371870030E-001                  7.9709103859414145E+022                 -1.1573261783074049E+001                  1.0000000000000000E+000                  9.9999999999244304E-001                 -3.2819438833065302E-012                  1.7446354215244448E+001                  1.7446207023715161E+001                  1.7316940064399703E+004                  6.8635678769503605E-001                 -1.6345006702466983E-001                  6.8907323509220009E+002                  6.7088250912398117E-001                  2.6649118507622034E+000                  2.6011127047240734E-001                  7.6538745646377893E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.1104083948244928E-001                  8.5509849951280453E-037                 -3.6067983855644947E+001                  8.5511652682479365E-037                  1.3920993890983695E-036                  0.0000000000000000E+000                  4.8595912290024147E+009                                        0                 -1.0757317082929574E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4906645676861019E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5241919582736529E-001                  1.5241919582736529E-001                  1.4999999999886645E+001                 -1.1121647009685493E+001                 -9.9455557506298113E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120298E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  8.5509849951280453E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  4.2393095677941544E+000                 -9.6721822981753469E+000                  2.8437253934405997E+000                  1.2416973575164609E+000                  2.4173017691305500E+004                 -4.6886612598402450E-001                 -1.5094278842349079E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3718065877828586E+001                                        0                  2.1508119597770115E+006                 -1.1805917176538973E-006                 -1.8539013624191284E+001                  6.5203181654214848E-001                  1.5941820771882832E+023                 -1.1272231787410067E+001                  4.9999999999999983E-001                  9.9999999998977163E-001                 -4.4421262583271069E-012                  1.7446059829702406E+001                  1.7445769225024502E+001                  1.7350403045438910E+004                  6.9335107292782194E-001                 -1.5904680806059385E-001                  6.9779104780836519E+002                  6.7247488538793609E-001                  2.6714014630204672E+000                  2.6046634279191494E-001                  7.6548107005419619E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.1260118477438439E-001                  8.6625290119631656E-037                 -3.6062355297867647E+001                  8.6627128239172701E-037                  1.4129838731963200E-036                  0.0000000000000000E+000                  4.8580680674130001E+009                                        0                 -1.0693724222341053E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4891933370677593E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5329238568883272E-001                  1.5329238568883272E-001                  1.4999999999846576E+001                 -1.0990189844294562E+001                 -9.8140985852388809E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120302E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  8.6625290119631656E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  4.2409263116278586E+000                 -9.6615460929627908E+000                  2.8541224634230264E+000                  1.2416828886663007E+000                  2.4173017691305522E+004                 -8.1840473258386545E-002                 -1.5571532958212444E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3653125511322735E+001                                        0                  2.1522798918874105E+006                 -1.1800791729878032E-006                 -1.8520051240921021E+001                  6.5196623653173436E-001                  3.0434385109958135E+023                 -1.0991405177834373E+001                  5.2380952380952384E-001                  9.9999999998442879E-001                 -6.7624910083775588E-012                  1.7445478610664924E+001                  1.7444937198279060E+001                  1.7415113595636500E+004                  7.0739069692926593E-001                 -1.5034065599829827E-001                  7.1469782991063516E+002                  6.7542541338575846E-001                  2.6836998606841651E+000                  2.6114628277719021E-001                  7.6552215900039811E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.1548184745377524E-001                  8.8773048592259534E-037                 -3.6051718865575801E+001                  8.8774955493876283E-037                  1.4534174267284204E-036                  0.0000000000000000E+000                  4.8555601469938126E+009                                        0                 -1.0570200162883428E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4870402596213074E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5499807053301903E-001                  1.5499807053301903E-001                  1.4999999999766432E+001                 -1.0807676548115889E+001                 -9.6315852890602081E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120302E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  8.8773048592259534E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  4.2444209691177717E+000                 -9.6394481144706088E+000                  2.8760423618458493E+000                  1.2416559307349404E+000                  2.4173017691305526E+004                  6.9787873245374343E-001                 -1.4272744341426188E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3524613231764157E+001                                        0                  2.1561335498994431E+006                 -1.1789313883244835E-006                 -1.8481738805770874E+001                  6.5182651579380024E-001                  7.1013565256568976E+023                 -1.0623428392539779E+001                  4.2857142857142855E-001                  9.9999999997422895E-001                 -1.1192225658828306E-011                  1.7444395752285264E+001                  1.7443194933904120E+001                  1.7555813926237643E+004                  7.3437456315524596E-001                 -1.3408237438937487E-001                  7.5169621220994316E+002                  6.8130647183326598E-001                  2.7093848762338388E+000                  2.6258915290236473E-001                  7.6510543882126181E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.2115905575765854E-001                  9.3407036528210868E-037                 -3.6029620406315232E+001                  9.3409094672107393E-037                  1.5416416732910148E-036                  0.0000000000000000E+000                  4.8525996535561972E+009                                        0                 -1.0346645125195505E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4851780137546771E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5811269256278751E-001                  1.5811269256278751E-001                  1.4999999999613435E+001                 -1.0588866648824826E+001                 -9.4127753897691449E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120302E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  9.3407036528210868E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  4.2488523190073373E+000                 -9.6127888189551065E+000                  2.9029928612410059E+000                  1.2415961315171449E+000                  2.4173017691305398E+004                  1.5193939350819563E+000                 -1.4001800706139978E+001                  1.8167038851179873E-001                  1.8167038851179873E-001                  3.7967865622097250E+001                  0.0000000000000000E+000                  4.3376856361210486E+001                                        0                  2.1619403781150291E+006                 -1.1757699340368366E-006                 -1.8436074733734131E+001                  6.5165608376264561E-001                  6.0868770219916284E+023                 -1.0690375182170392E+001                  1.1666666666666663E+000                  9.9999999995042921E-001                 -2.1528321393095755E-011                  1.7441993950167632E+001                  1.7441025705634679E+001                  1.7735862737784246E+004                  7.9817812456116266E-001                 -9.7900178973145888E-002                  7.9982110775949911E+002                  6.8800463345707752E-001                  2.7405842242992859E+000                  2.6434978842735291E-001                  7.6472409483673176E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.2754582755525973E-001                  9.9320634587830473E-037                 -3.6002960514277433E+001                  9.9322891243384321E-037                  1.6560545410755366E-036                  0.0000000000000000E+000                  4.8516937499644804E+009                                        0                 -9.8724823469219208E-002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.4865554057268204E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.6481236394660068E-001                  1.6481236394660068E-001                  1.4999999999256438E+001                 -1.0304773806902096E+001                 -9.1286825478464149E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  7.0000000000000007E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120302E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137509E-003                  9.9320634587830473E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
